background,seasons,nsbmd_member,material,texture,width,height,format,role,confidence,center_coverage,projected_area,notes
33,Spring; Summer (fallback); Winter (fallback),325,sky_cloud_b_1,sky_cloud_b,64,64,A3I5,primary,high,0.64,30501.781,Large untextured base plane also present
33,Autumn,327,space_field_1,space_field,128,128,256-color,primary,high,0.28,5636.586,
34,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),335,batt_field04,pkwd_field01,128,64,256-color,primary,high,1,1666128.381,
34,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),335,batt_sky01,pkwd_field02,64,64,256-color,secondary,medium,0.08,1470.642,
34,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),335,file15Material,pkwd_field01a,16,16,16-color,secondary,medium,0.04,370.243,
35,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),335,batt_field04,pkwd_field01,128,64,256-color,primary,high,1,1666128.381,
35,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),335,batt_sky01,pkwd_field02,64,64,256-color,secondary,medium,0.08,1470.642,
35,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),335,file15Material,pkwd_field01a,16,16,16-color,secondary,medium,0.04,370.243,
36,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),335,batt_field04,pkwd_field01,128,64,256-color,primary,high,1,1666128.381,
36,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),335,batt_sky01,pkwd_field02,64,64,256-color,secondary,medium,0.08,1470.642,
36,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),335,file15Material,pkwd_field01a,16,16,16-color,secondary,medium,0.04,370.243,
37,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),336,batt_field27_1,batt_field27,64,64,256-color,primary,high,1,10750.214,
38,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),339,batt_field15_1,batt_field_w1,64,64,256-color,primary,high,1,10750.214,
39,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),340,batt_field15_1,batt_field_w1,64,64,256-color,primary,high,1,10750.214,
40,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),341,batt_field15_1,batt_field_w1,64,64,256-color,primary,high,1,10750.214,
41,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),342,batt_field15_1,batt_field_w1,64,64,256-color,primary,high,1,10750.214,
42,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),343,batt_field15_1,batt_field_b1,64,64,256-color,primary,high,1,10750.214,
43,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),344,batt_field15_1,batt_field_b2,64,64,256-color,primary,high,1,10750.214,
44,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),345,batt_field15_1,batt_field_b3,64,64,256-color,primary,high,1,10750.214,
45,Spring; Summer (fallback); Autumn (fallback); Winter (fallback),346,batt_field15_1,batt_field_b4,64,64,256-color,primary,high,1,10750.214,
46,Spring; Summer (fallback); Winter (fallback),347,batt_field31_1,batt_field31,64,64,256-color,primary,high,1,10750.214,
46,Autumn,348,batt_field31_1,batt_field31,64,64,256-color,primary,high,1,10750.214,
